"","Game_ID","Visiting_Team","Inning","Batting_Team","Outs","Balls","Strikes","Vistor_Score","Home_Score","Batter","Batter_Hand","Pitcher","Pitcher_Hand","First_Runner","Second_Runner","Third_Runner","Event_Text","Leadoff_Flag","PinchHit_Flag","Defensive_Position","Lineup_Position","Event_Type","Batter_Event_Flag","AB_Flag","Hit_Value","SH_Flag","SF_Flag","Outs_On_Play","RBIs_On_Play","Wild_Pitch_Flag","Passed_Ball_Flag","Num_Errors","Batter_Dest","Runner_On_1st_Dest","Runner_On_2nd_Dest","Runner_On_3rd_Dest","First","Second","Third","Runs_Scored","Result_Outs","State","Next_State","Home_Team"
"1051","ANA201705050","HOU",1,0,0,3,2,0,0,"sprig001","R","chavj001","R","","","","W",TRUE,FALSE,8,1,14,TRUE,FALSE,0,FALSE,FALSE,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,"0000","0100","ANA"
"1052","ANA201705050","HOU",1,0,0,1,0,0,0,"reddj001","L","chavj001","R","sprig001","","","8/F",FALSE,FALSE,9,2,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,1,"0100","1100","ANA"
"1053","ANA201705050","HOU",1,0,1,1,2,0,0,"altuj001","R","chavj001","R","sprig001","","","9/L",FALSE,FALSE,4,3,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,2,"1100","2100","ANA"
"1054","ANA201705050","HOU",1,0,2,2,2,0,0,"corrc001","R","chavj001","R","sprig001","","","K",FALSE,FALSE,6,4,3,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,3,"2100","3000","ANA"
"1059","ANA201705050","HOU",2,0,0,0,2,0,0,"beltc001","L","chavj001","R","","","","K",TRUE,FALSE,10,5,3,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,"0000","1000","ANA"
"1060","ANA201705050","HOU",2,0,1,0,0,0,0,"gurry001","R","chavj001","R","","","","S8/G+",FALSE,FALSE,3,6,20,TRUE,TRUE,1,FALSE,FALSE,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,0,1,"1000","1100","ANA"
"1061","ANA201705050","HOU",2,0,1,2,1,0,0,"mccab002","L","chavj001","R","gurry001","","","4/L",FALSE,FALSE,2,7,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,2,"1100","2100","ANA"
"1062","ANA201705050","HOU",2,0,2,2,2,0,0,"gonzm002","L","chavj001","R","gurry001","","","K",FALSE,FALSE,5,8,3,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,3,"2100","3000","ANA"
"1067","ANA201705050","HOU",3,0,0,2,2,0,1,"aokin001","L","chavj001","R","","","","13/G",TRUE,FALSE,7,9,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,"0000","1000","ANA"
"1068","ANA201705050","HOU",3,0,1,3,2,0,1,"sprig001","R","chavj001","R","","","","K",FALSE,FALSE,8,1,3,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,2,"1000","2000","ANA"
"1069","ANA201705050","HOU",3,0,2,0,1,0,1,"reddj001","L","chavj001","R","","","","HR/9/F",FALSE,FALSE,9,2,23,TRUE,TRUE,4,FALSE,FALSE,0,1,FALSE,FALSE,0,4,0,0,0,0,0,0,1,2,"2000","2000","ANA"
