"","Game_ID","Visiting_Team","Inning","Batting_Team","Outs","Balls","Strikes","Vistor_Score","Home_Score","Batter","Batter_Hand","Pitcher","Pitcher_Hand","First_Runner","Second_Runner","Third_Runner","Event_Text","Leadoff_Flag","PinchHit_Flag","Defensive_Position","Lineup_Position","Event_Type","Batter_Event_Flag","AB_Flag","Hit_Value","SH_Flag","SF_Flag","Outs_On_Play","RBIs_On_Play","Wild_Pitch_Flag","Passed_Ball_Flag","Num_Errors","Batter_Dest","Runner_On_1st_Dest","Runner_On_2nd_Dest","Runner_On_3rd_Dest","First","Second","Third","Runs_Scored","Result_Outs","State","Next_State","Home_Team"
"2921","ANA201706280","LAN",1,0,0,3,2,0,0,"utlec001","L","meyea001","R","","","","W",TRUE,FALSE,3,1,14,TRUE,FALSE,0,FALSE,FALSE,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,"0000","0100","ANA"
"2922","ANA201706280","LAN",1,0,0,0,1,0,0,"pedej001","L","meyea001","R","utlec001","","","8/F",FALSE,FALSE,8,2,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,1,"0100","1100","ANA"
"2923","ANA201706280","LAN",1,0,1,2,1,0,0,"turnj001","R","meyea001","R","utlec001","","","7/F",FALSE,FALSE,5,3,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,2,"1100","2100","ANA"
"2924","ANA201706280","LAN",1,0,2,2,2,0,0,"bellc002","L","meyea001","R","utlec001","","","K",FALSE,FALSE,10,4,3,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,3,"2100","3000","ANA"
"2928","ANA201706280","LAN",2,0,0,1,1,0,0,"taylc001","R","meyea001","R","","","","7/L",TRUE,FALSE,6,5,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,"0000","1000","ANA"
"2929","ANA201706280","LAN",2,0,1,3,1,0,0,"grany001","L","meyea001","R","","","","W",FALSE,FALSE,2,6,14,TRUE,FALSE,0,FALSE,FALSE,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,0,1,"1000","1100","ANA"
"2930","ANA201706280","LAN",2,0,1,3,2,0,0,"forsl001","R","meyea001","R","grany001","","","W.1-2",FALSE,FALSE,4,7,14,TRUE,FALSE,0,FALSE,FALSE,0,0,FALSE,FALSE,0,1,2,0,0,1,0,0,0,1,"1100","1110","ANA"
"2931","ANA201706280","LAN",2,0,1,2,1,0,0,"puigy001","R","meyea001","R","forsl001","grany001","","64(1)/FO/G.2-3",FALSE,FALSE,9,8,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,1,0,3,0,1,1,0,0,2,"1110","2101","ANA"
"2932","ANA201706280","LAN",2,0,2,2,2,0,0,"thomt002","R","meyea001","R","puigy001","","grany001","K",FALSE,FALSE,7,9,3,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,3,1,0,1,0,3,"2101","3000","ANA"
"2936","ANA201706280","LAN",3,0,0,3,2,0,0,"utlec001","L","meyea001","R","","","","W",TRUE,FALSE,3,1,14,TRUE,FALSE,0,FALSE,FALSE,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,"0000","0100","ANA"
"2937","ANA201706280","LAN",3,0,0,3,2,0,0,"pedej001","L","meyea001","R","utlec001","","","K",FALSE,FALSE,8,2,3,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,1,0,0,1,0,0,0,1,"0100","1100","ANA"
"2938","ANA201706280","LAN",3,0,1,3,2,0,0,"turnj001","R","meyea001","R","utlec001","","","W.1-2",FALSE,FALSE,5,3,14,TRUE,FALSE,0,FALSE,FALSE,0,0,FALSE,FALSE,0,1,2,0,0,1,0,0,0,1,"1100","1110","ANA"
"2939","ANA201706280","LAN",3,0,1,3,2,0,0,"bellc002","L","meyea001","R","turnj001","utlec001","","13/G.2-3;1-2",FALSE,FALSE,10,4,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,2,3,0,1,1,0,0,2,"1110","2011","ANA"
"2940","ANA201706280","LAN",3,0,2,0,0,0,0,"taylc001","R","meyea001","R","","turnj001","utlec001","53/G",FALSE,FALSE,6,5,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,0,2,3,0,1,1,0,3,"2011","3000","ANA"
"2945","ANA201706280","LAN",4,0,0,3,2,0,0,"grany001","L","meyea001","R","","","","S8/G",TRUE,FALSE,2,6,20,TRUE,TRUE,1,FALSE,FALSE,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,"0000","0100","ANA"
"2946","ANA201706280","LAN",4,0,0,0,1,0,0,"forsl001","R","meyea001","R","grany001","","","54(1)3/GDP",FALSE,FALSE,4,7,2,TRUE,TRUE,0,FALSE,FALSE,2,0,FALSE,FALSE,0,0,0,0,0,1,0,0,0,2,"0100","2000","ANA"
"2947","ANA201706280","LAN",4,0,2,0,1,0,0,"puigy001","R","meyea001","R","","","","3/P3F",FALSE,FALSE,9,8,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,3,"2000","3000","ANA"
"2953","ANA201706280","LAN",5,0,0,1,1,0,0,"thomt002","R","meyea001","R","","","","13/G-",TRUE,FALSE,7,9,2,TRUE,TRUE,0,FALSE,FALSE,1,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,"0000","1000","ANA"
