"","V1","V2"
"row.add","0000","0.695437239674739"
"row.add","0001","1.25738663419913"
"row.add","0010","1.30718930862681"
"row.add","0011","2.15200516506766"
"row.add","0100","1.1861126954877"
"row.add","0101","1.89484024121524"
"row.add","0110","1.5759559957685"
"row.add","0111","2.43292800885301"
"row.add","1000","0.345491795366795"
"row.add","1001","0.981727012402013"
"row.add","1010","0.782270067957568"
"row.add","1011","1.28523956505206"
"row.add","1100","0.539787705725206"
"row.add","1101","1.28945630776881"
"row.add","1110","0.79424621943372"
"row.add","1111","1.42578933397683"
"row.add","2000","0.226786708786709"
"row.add","2001","0.657815386002886"
"row.add","2010","0.345216720779221"
"row.add","2011","0.886225178912678"
"row.add","2100","0.195456936644437"
"row.add","2101","0.946238014800515"
"row.add","2110","0.550677364864865"
"row.add","2111","1.49341910660661"
"row.add","3000","0"
