"","V1","V2"
"row.add","0000","0.480720021791213"
"row.add","0001","1.44606220634268"
"row.add","0010","1.32619900858395"
"row.add","0011","2.16831959339707"
"row.add","0100","0.816726056623972"
"row.add","0101","1.59874921089134"
"row.add","0110","1.26150029492819"
"row.add","0111","1.90938728502889"
"row.add","1000","0.300446298872071"
"row.add","1001","0.868165197564514"
"row.add","1010","0.621713007103375"
"row.add","1011","1.23171910498957"
"row.add","1100","0.463610092484318"
"row.add","1101","1.04480596886531"
"row.add","1110","1.04173653904094"
"row.add","1111","1.54634279117441"
"row.add","2000","0.115699678250327"
"row.add","2001","0.397396133645236"
"row.add","2010","0.239389947948538"
"row.add","2011","0.808357210763927"
"row.add","2100","0.212407287845034"
"row.add","2101","0.681873858958868"
"row.add","2110","0.558162424894255"
"row.add","2111","0.75673551770728"
"row.add","3000","0"
